# epoch	train_loss	dev_loss	dev_score	best_dev_score
340	0.014274	0.2318	0.2399
345	0.014378	0.2352	0.2399
350	0.014222	0.2395	0.2399
355	0.014347	0.2398	0.2399
360	0.014146	0.2331	0.2399
365	0.014119	0.2358	0.2399
370	0.014339	0.2377	0.2399
375	0.014057	0.2413	0.2413
new best model saved at epoch 375: 24.94	11.77	74.17	24.13
380	0.014184	0.2374	0.2413
385	0.014305	0.2366	0.2413
390	0.013997	0.2345	0.2413
395	0.013848	0.2368	0.2413
400	0.013972	0.2417	0.2417
new best model saved at epoch 400: 25.16	11.67	74.78	24.17
405	0.013886	0.2426	0.2426
new best model saved at epoch 405: 24.95	11.91	74.41	24.26
410	0.014088	0.2378	0.2426
415	0.013828	0.2374	0.2426
420	0.013901	0.2402	0.2426
425	0.013964	0.2401	0.2426
430	0.013855	0.2404	0.2426
435	0.013866	0.2382	0.2426
440	0.013849	0.2450	0.2450
new best model saved at epoch 440: 25.64	11.96	74.21	24.50
445	0.013947	0.2410	0.2450
450	0.013920	0.2455	0.2455
new best model saved at epoch 450: 25.85	11.99	74.37	24.55
455	0.013824	0.2461	0.2461
new best model saved at epoch 455: 25.46	12.12	74.53	24.61
460	0.013888	0.2389	0.2461
465	0.013583	0.2406	0.2461
470	0.013727	0.2404	0.2461
475	0.013671	0.2450	0.2461
480	0.013610	0.2443	0.2461
485	0.013554	0.2423	0.2461
490	0.013410	0.2461	0.2461
new best model saved at epoch 490: 25.33	12.06	75.58	24.61
495	0.013531	0.2420	0.2461
500	0.013700	0.2413	0.2461
505	0.013202	0.2452	0.2461
510	0.013694	0.2434	0.2461
515	0.013463	0.2430	0.2461
520	0.013315	0.2392	0.2461
525	0.013410	0.2457	0.2461
530	0.013460	0.2460	0.2461
535	0.013387	0.2438	0.2461
540	0.013476	0.2450	0.2461
545	0.013409	0.2397	0.2461
550	0.013262	0.2466	0.2466
new best model saved at epoch 550: 25.66	12.10	75.19	24.66
555	0.013416	0.2420	0.2466
560	0.013067	0.2374	0.2466
565	0.013154	0.2420	0.2466
570	0.013255	0.2409	0.2466
575	0.013532	0.2464	0.2466
580	0.013218	0.2425	0.2466
585	0.013128	0.2448	0.2466
590	0.013526	0.2445	0.2466
595	0.013281	0.2481	0.2481
new best model saved at epoch 595: 25.69	12.28	74.90	24.81
600	0.013333	0.2423	0.2481
605	0.013172	0.2455	0.2481
610	0.013075	0.2463	0.2481
615	0.013297	0.2452	0.2481
620	0.013334	0.2473	0.2481
625	0.012953	0.2509	0.2509
new best model saved at epoch 625: 25.99	12.48	75.55	25.09
630	0.012802	0.2446	0.2509
635	0.013004	0.2435	0.2509
640	0.012917	0.2426	0.2509
645	0.012928	0.2432	0.2509
650	0.013209	0.2462	0.2509
655	0.012951	0.2489	0.2509
660	0.012850	0.2494	0.2509
665	0.013114	0.2461	0.2509
670	0.012954	0.2475	0.2509
675	0.013057	0.2452	0.2509
680	0.012796	0.2483	0.2509
685	0.012796	0.2454	0.2509
690	0.012811	0.2467	0.2509
695	0.012808	0.2497	0.2509
700	0.012943	0.2415	0.2509
705	0.012860	0.2489	0.2509
710	0.012954	0.2450	0.2509
715	0.012891	0.2475	0.2509
720	0.012733	0.2429	0.2509
725	0.012795	0.2500	0.2509
730	0.012813	0.2461	0.2509
735	0.012906	0.2414	0.2509
740	0.012744	0.2443	0.2509
745	0.012845	0.2490	0.2509
750	0.012726	0.2451	0.2509
755	0.012923	0.2480	0.2509
760	0.012731	0.2467	0.2509
765	0.012555	0.2508	0.2509
770	0.012812	0.2425	0.2509
775	0.012620	0.2463	0.2509
780	0.012748	0.2518	0.2518
new best model saved at epoch 780: 26.46	12.38	76.42	25.18
785	0.012700	0.2491	0.2518
790	0.012699	0.2472	0.2518
795	0.012514	0.2447	0.2518
800	0.012696	0.2425	0.2518
805	0.012462	0.2444	0.2518
810	0.012604	0.2483	0.2518
815	0.012683	0.2447	0.2518
820	0.012463	0.2450	0.2518
825	0.012679	0.2462	0.2518
830	0.012447	0.2482	0.2518
835	0.012625	0.2476	0.2518
840	0.012727	0.2419	0.2518
845	0.012553	0.2460	0.2518
850	0.012494	0.2486	0.2518
855	0.012546	0.2455	0.2518
860	0.012395	0.2423	0.2518
865	0.012600	0.2500	0.2518
870	0.012540	0.2460	0.2518
875	0.012486	0.2493	0.2518
880	0.012353	0.2468	0.2518
885	0.012231	0.2497	0.2518
890	0.012371	0.2454	0.2518
895	0.012218	0.2447	0.2518
900	0.012466	0.2452	0.2518
905	0.012427	0.2456	0.2518
910	0.012382	0.2464	0.2518
915	0.012489	0.2415	0.2518
920	0.012294	0.2494	0.2518
925	0.012446	0.2455	0.2518
930	0.012287	0.2473	0.2518
935	0.012494	0.2441	0.2518
940	0.012444	0.2447	0.2518
945	0.012595	0.2403	0.2518
950	0.012167	0.2425	0.2518
955	0.012070	0.2451	0.2518
960	0.012051	0.2407	0.2518
965	0.012123	0.2437	0.2518
970	0.012304	0.2448	0.2518
975	0.012132	0.2378	0.2518
980	0.012072	0.2412	0.2518
985	0.012203	0.2435	0.2518
990	0.012315	0.2430	0.2518
995	0.012337	0.2417	0.2518
1000	0.012308	0.2466	0.2518
